Site,National,Co-Op,StoreAddress,City,State,Zip,StorePhone,FName,LName,DOLName,DOFName,FSMLName,FSMFName,BusConsLName,BusConsFName,On 24 Hours,Planning to go on 24 Hours,By Memorial Weekend 5/27,Other Date:,Extended Operating Hours,Current Operating Hours,Planning to Extend Operating Hours,,start_24 Hours List,Memorial Weekend List,Extended Hours List,Will Extended Hours
41541,10794,Los Angeles,5450 Sunset Blvd.,Los Angeles,CA,90027,(323) 469-8133,Carol,Massie,Awad,Ramzi,Lopez,Jessie,Canseco,Carlos,Open 24/7,,,,,,,,,,,
41532,10805,Los Angeles,501 W. Imperial Hwy.,Los Angeles,CA,90044,(323) 756-9006,Mike,"Mangione, Jr.",Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/7,,,,,,,,,,,
41490,10816,Los Angeles,976 N. Western Ave.,San Perdro,CA,90732,(310) 514-8616,Martin,Ruby,Chew,Sheryl,Brantley,Rick,Yarbrough,Kay,Open 24/7,,,,,,,,,,,
41457,10869,Los Angeles,4650 Sunset Blvd.,Los Angeles,CA,90027,(323) 666-1979,Fran,Jones,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
41591,10962,Los Angeles,908 Ventura St.,Filmore,CA,93015,(805) 524-4122,Richard,Bechguenturian Jr.,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
41593,11016,Los Angeles,27701 W. Lake Hughes Rd.,Castaic,CA,91384,(661) 295-1623,Richard,Bechguenturian Jr.,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
41553,11029,Los Angeles,7861 Beach Blvd.,Buena Park,CA,90620,(714) 521-2303,Mark,Brownstein,Chew,Sheryl,Brantley,Rick,Castellanos,Silvia,Open 24/7,,,,,,,,,,,
41662,11032,Los Angeles,11170 Long Beach Blvd.,Lynwood,CA,90262,(310) 631-4311,Patricia,Williams,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
41478,11118,Los Angeles,5015 W. Slauson Ave.,Los Angeles,CA,90056,(323) 299-0974,Tony,Lardas,Awad,Ramzi,Akinnagbe,Akins,Pechs,Maria,Open 24/2,,,,,,,,,,,
41604,11157,Los Angeles,3105 N. Broadway,Los Angeles,CA,90031,(323) 227-4056,Robert,Sanchez,Awad,Ramzi,Avila,Humberto,Velasquez,Marlene,Open 24/7,,,,,,,,,,,
41579,11160,Los Angeles,14530 Baldwin Park Towne Center Dr,Baldwin Park,CA,91706,(626) 960-4884,Robert,Sanchez,Awad,Ramzi,Avila,Humberto,Montalvo,Maria,Open 24/7,,,,,,,,,,,
41536,11194,Los Angeles,1852 Manhattan Beach Blvd,Manhattan Beach,CA,90266,(310) 318-1588,Dick,Blade,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
41545,11202,Los Angeles,84 Corporate Park,Irvine,CA,92606,(949) 251-1901,Bob,Nibeel,Chew,Sheryl,Brantley,Rick,Markes,Aileen,Open 24/7,,,,,,,,,,,
41677,11204,Los Angeles,8139 Sunland Blvd.,Sun Valley,CA,91352,(818) 504-6608,Richard,Bechguenturian Jr.,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
41666,11331,Los Angeles,4785 Las Virgenes Road,Calabasas,CA,91302,(818) 880-8661,Keith,Lopaty,Awad,Ramzi,Lopez,Jessie,Canseco,Carlos,Open 24/7,,,,,,,,,,,
41710,11377,Los Angeles,2224 N. Figueroa Street,Los Angeles,CA,90065,(323) 223-3659,Robert,Sanchez,Awad,Ramzi,Avila,Humberto,Velasquez,Marlene,Open 24/7,,,,,,,,,,,
41701,11415,Los Angeles,1712 Pacific Coast Hwy.,Lomita,CA,90717,(310) 530-9520,Kim,Dobbins,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,,Open 24/7,Other,6/1/11,,,,,,,,
41768,11489,Los Angeles,"1860 E. Ave ""J""",Lancaster,CA,93535,(661) 723-3312,Hernando,Marroquin,Awad,Ramzi,Avila,Humberto,Gonzalez,Teresa,,Open 24/3,Other,5/8/11,,,,,,,,
41643,11524,Los Angeles,1398 Artesia Blvd,Gardena,CA,90248,(310) 538-4977,Ti,Chang,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
41511,11549,Los Angeles,24440 Allesandro Blvd.,Moreno Valley,CA,92553,(951) 485-2090,Tom,Mangione,Chew,Sheryl,Kanjee,Yousef,Martinez,Angel,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
41697,11589,Los Angeles,60 Daily Drive,Camarillo,CA,93010,(805) 484-2535,Clayton,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
41587,11642,Los Angeles,400 McKinley Street,Corona,CA,92879,(951) 371-7060,Karen,Linton-Gransee,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
41735,11670,Los Angeles,1705 W. Pacific Coast Hwy.,Long Beach,CA,90810,(562) 432-1776,Richard,Ruby,Awad,Ramzi,Akinnagbe,Akins,Rojas,Sandra,Open 24/7,,,,,,,,,,,
41702,11685,Los Angeles,1675 N. Perris Blvd. #D,Perris,CA,92571,(951) 940-4180,Mary,Nichols,Chew,Sheryl,Kanjee,Yousef,Williams,Cecy,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
41594,11690,Los Angeles,4860 Santa Rosa Road,Camarillo,CA,93012,(805) 484-9616,Clayton III,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
41556,11745,Los Angeles,6815 Valley Way,Rubidoux,CA,92509,(951) 360-3261,Tom,Spiel,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
41663,11751,Los Angeles,1763 W. Century Blvd.,Los Angeles,CA,90047,(323) 754-7738,Jesse,Ingram,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
41669,11758,Los Angeles,5445 Alton Parkway,Irvine,CA,92604,(949) 551-4700,Bob,Nibeel,Chew,Sheryl,Brantley,Rick,Markes,Aileen,Open 24/7,,,,,,,,,,,
41837,11947,Los Angeles,3750 Sierra Hwy,Acton,CA,93510,(661) 269-4008,Victor,Quiroz,Awad,Ramzi,Avila,Humberto,Gonzalez,Teresa,Open 24/7,,,,,,,,,,,
41976,11949,Los Angeles,2157 Lincoln Ave.,West Altadena,CA,91001,(626) 398-9966,Paul,Pernecky,Awad,Ramzi,Avila,Humberto,Velasquez,Marlene,Open 24/7,,,,,,,,,,,
41615,12036,Los Angeles,405 N. Alvarado St.,Los Angeles,CA,90026,(213) 413-3724,Henry,Garcia,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
41961,12146,Los Angeles,221 E. Allesandro,Riverside,CA,92508,(951) 780-7470,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
41621,12252,Los Angeles,"2891 Canyon Springs Pkwy,",Riverside,CA,92507,(951) 653-1223,Tom,Mangione,Chew,Sheryl,Kanjee,Yousef,Martinez,Angel,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
42119,12307,Los Angeles,31-545 Date Palm Dr.,Cathedral City,CA,92234,(760) 324-5250,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
41875,12323,Los Angeles,2605 Yosemite Street,Simi Valley,CA,93063,(805) 582-2305,James,Powell,Awad,Ramzi,Lopez,Jessie,Rady,Mohammed,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
41950,12677,Los Angeles,1741 Pacific Avenue,Oxnard,CA,93033,(805) 486-5553,Clayton III,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
42300,12993,Los Angeles,2201 North Rose Avenue,Oxvard,CA,93036,(805) 278-9377,Gregory,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
41708,13046,Los Angeles,401South Ventura Road,Oxnard,CA,93030,(805) 382-2558,Clayton III,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
42199,13788,Los Angeles,4011 S. Central Ave.,Los Angeles,CA,90011,(323) 233-3548,Don,Bailey,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/3,,,,,,,,,,,
41694,13894,Los Angeles,"830 W. Ave. ""P""",Palmdale,CA,93550,(661) 274-7960,Victor,Quiroz,Awad,Ramzi,Avila,Humberto,Gonzalez,Teresa,Open 24/7,,,,,,,,,,,
42393,14162,Los Angeles,1717 E. Vista Chino Dr. #D,Palm Springs,CA,92262,(760) 320-1504,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
41998,14199,Los Angeles,6650 Irwindale Ave.,Irwindale,CA,91706,(626) 815-8979,Mike,Pernecky,Awad,Ramzi,Avila,Humberto,Montalvo,Maria,Open 24/7,,,,,,,,,,,
42398,14314,Los Angeles,2300 S. Main Street,Santa Ana,CA,92707,(714) 751-3140,Virginia,Mangione,Chew,Sheryl,Brantley,Rick,Hernandez,Roy,Open 24/7,,,,,,,,,,,
42405,14332,Los Angeles,1107 Pacific Coast Hwy.,Hermosa Beach,CA,90254,(310) 798-2832,Dick,Blade,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
42408,14369,Los Angeles,8681 S. Alameda St.,Los Angeles,CA,90002,(323) 583-3266,Robert,Arciniaga,Awad,Ramzi,Akinnagbe,Akins,Rojas,Sandra,Open 24/3,,,,,,,,,,,
42469,14975,Los Angeles,1796 E. Lugonia Ave.,Redlands,CA,92374,(909) 389-9484,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
42249,15156,Los Angeles,1590 Foothill Blvd.,Upland,CA,91786,(909) 275-1293,Eddie,Yuen,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/3,,,,,,,,,,,
42505,15556,Los Angeles,1000 E. 4th Street,Long Beach,CA,90802,(562) 435-1808,Mike,"Mangione, Jr.",Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/3,,,,,,,,,,,
42519,15660,Los Angeles,11755 Whittier Blvd.,Whittier,CA,90601,(562) 908-4905,Al,Ruby,Awad,Ramzi,Akinnagbe,Akins,Rojas,Sandra,Open 24/7,,,,,,,,,,,
42563,15996,Los Angeles,900 W. Burbank Blvd.,Burbank,CA,91506,(818) 556-6285,Richard,Bechguenturian,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
42525,16007,Los Angeles,928 N. Azusa Ave.,Covina,CA,91722,(626) 859-0176,Ken,Worley,Awad,Ramzi,Avila,Humberto,Montalvo,Maria,Open 24/7,,,,,,,,,,,
42207,16151,Los Angeles,49714 Gorman School Rd.,Gorman,CA,93243,(661) 248-1513,Richard,Bechguenturian Jr.,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
42521,16354,Los Angeles,770 W. Chapman Ave.,Placentia,CA,92870,(714) 577-8171,Jim,Frisbie,Chew,Sheryl,Brantley,Rick,Hernandez,Roy,Open 24/7,,,,,,,,,,,
42624,16979,Los Angeles,7331 Figueroa St.,Los Angeles,CA,90041,(323) 344-7423,Henry,Garcia,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/2,,,,,4:30am to 11:30pm,,,,,,
41992,17114,Los Angeles,23340 Avenue San Luis,Woodland Hills,CA,91364,(818) 224-3996,Debbie,Voss,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,,Open 24/7,Other,8/30/11,,,,,,,,
42628,17115,Los Angeles,4680 Lincoln Blvd.,Marina Del Rey,CA,90292,(310) 577-2280,Sean,Lucero,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
42647,17438,Los Angeles,64 E. Ramona Expressway,Perris,CA,92571,(951) 943-9191,Mary,Nichols,Chew,Sheryl,Kanjee,Yousef,Williams,Cecy,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
42837,18171,Los Angeles,40465 Winchester Rd.,Temecula,CA,92591,(951) 296-6653,Tom,Tucker,Chew,Sheryl,Kanjee,Yousef,Williams,Cecy,Open 24/7,,,,,,,,,,,
42741,18368,Los Angeles,690 S. Alameda,Los Angeles,CA,90021,(213) 489-1989,Frank,Sanchez,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
42859,18637,Los Angeles,7357 Alondra Blvd.,Paramount,CA,90723,(562) 630-1444,Paul,Tulaphorn,Awad,Ramzi,Akinnagbe,Akins,Rojas,Sandra,Open 24/7,Open 24/7,Other,5/2/11,,,,,,,,
42251,18717,Los Angeles,3770 Grand Ave.,Chino,CA,91710,(909) 590-0557,Eddie,Yuen,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
42885,19076,Los Angeles,860 S. Indian Hill Blvd.,Claremont,CA,91711,(909) 482-4996,Reggie,Webb,Chew,Sheryl,Kanjee,Yousef,Hede,Robert,Open 24/7,,,,,,,,,,,
42916,19140,Los Angeles,850 Rosecrans Blvd.,Gardena,CA,90247,(310) 538-3279,Don,Bailey,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
42918,19142,Los Angeles,4910 Lakewood Blvd.,Lakewood,CA,90712,(562) 531-0478,Ronald,Piazza,Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/7,,,,,,,,,,,
42954,19320,Los Angeles,5095 Warner Ave.,Huntington Beach,CA,92649,(714) 377-9201,Cathy,Lardas,Chew,Sheryl,Brantley,Rick,Ramirez,Lourdes,,Open 24/7,,,,,,,,,,
42961,19375,Los Angeles,3160 Baldwin Park Blvd.,Baldwin Park,CA,91706,(626) 851-0179,Reggie,Webb,Chew,Sheryl,Kanjee,Yousef,Hede,Robert,Open 24/7,,,,,,,,,,,
42990,19965,Los Angeles,101 S. Sepulveda Bvld.,El Segundo,CA,90245,(310) 640-2019,Dick,Blade,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
41941,20164,Los Angeles,31853 Temecula Parkway,Temecula,CA,92592,(951) 303-0689,Tom,Tucker,Chew,Sheryl,Kanjee,Yousef,Williams,Cecy,Open 24/7,,,,,,,,,,,
43281,22569,Los Angeles,17455 S. Central Ave.,Carson,CA,90746,(310) 885-5500,Patricia,Williams,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
43279,22570,Los Angeles,4000 S. Figueroa St.,Los Angeles,CA,90037,(323) 232-6768,Henry,Garcia,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
43344,22829,Los Angeles,21095 Golden Springs Road,Diamond Bar,CA,91765,(909) 598-4150,Bryan,Carmack,Chew,Sheryl,Brantley,Rick,Castellanos,Silvia,Open 24/7,,,,,,,,,,,
43294,23037,Los Angeles,5310 W. Rosecrans Ave.,Hawthorne,CA,90250,(310) 643-6691,Tawnie,Blade,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
43405,23393,Los Angeles,8913 Washington Blvd.,Pico Rivera,CA,90660,(562) 949-3880,Terry,Solon,Chew,Sheryl,Brantley,Rick,Ramirez,Lourdes,,Open 24/3,Other,6/1/11,,,,,,,,
43429,23841,Los Angeles,15950 Country Club Dr.,Chino Hills,CA,91709,(909) 606-8883,Eddie,Yuen,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
43478,24051,Los Angeles,"2300 Harbor Blvd., Suite M",Costa Mesa,CA,92626,(949) 642-7561,Neal,Ruby,Chew,Sheryl,Brantley,Rick,Yarbrough,Kay,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
43519,24381,Los Angeles,1615 Riverside Ave,Rialto,CA,92376,(909) 820-1600,Julie,Cartie,Chew,Sheryl,Kanjee,Yousef,Hede,Robert,Open 24/7,,,,,,,,,,,
43520,24384,Los Angeles,1311 West Washington Blvd.,Los Angeles,CA,90007,(213) 749-7221,Henry,Garcia,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
43535,24507,Los Angeles,901 S. Long Beach Blvd,Compton,CA,90221,(310) 638-7526,Nicole,Enearu,Awad,Ramzi,Akinnagbe,Akins,Pechs,Maria,Open 24/2,,,,Other,5am to 12am,Yes,,,,,
43557,24695,Los Angeles,1900 W. Slauson Ave.,Los Angeles,CA,90047,(323) 294-5990,Don,Bailey,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
43589,24808,Los Angeles,8855 E. Rosecrans Ave.,Downey,CA,90242,(562) 529-7704,Paul,Tulaphorn,Awad,Ramzi,Akinnagbe,Akins,Rojas,Sandra,Open 24/7,,,,,,,,,,,
43715,25642,Los Angeles,1660 Venice Blvd.,Los Angeles,CA,90006,(323) 733-8697,Henry,Garcia,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
43718,25647,Los Angeles,34101 Monterey Ave,Rancho Mirage,CA,92270,(760) 202-6894,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
43721,25687,Los Angeles,7474 Indiana Ave.,Riverside,CA,92504,(951) 354-5518,Tom,Mangione,Chew,Sheryl,Kanjee,Yousef,Martinez,Angel,,Open 24/7,Memorial Weekend (5/27),,,,,,,,,
43722,25706,Los Angeles,1625 West Wilshire Blvd.,Los Angeles,CA,90017,(213) 483-8702,Henry,Garcia,Awad,Ramzi,Akinnagbe,Akins,Yen,Scott,Open 24/7,,,,,,,,,,,
43730,25741,Los Angeles,5020 Long Beach Blvd.,Long Beach,CA,90805,(562) 428-6003,Mike,"Mangione, Jr.",Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/7,,,,,,,,,,,
43758,25923,Los Angeles,"3870 Sierra Ave, #A",Fontana,CA,92335,(909) 349-1262,Eddie,Yuen,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
43764,25973,Los Angeles,1830 Long Beach Blvd.,Long Beach,CA,90806,(562) 218-0762,Mike,"Mangione, Jr.",Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/3,,,,,,,,,,,
43773,26087,Los Angeles,1400 South Beach Blvd.,La Habra,CA,90631,(562) 690-4682,Mark,Brownstein,Chew,Sheryl,Brantley,Rick,Castellanos,Silvia,Open 24/7,,,,,,,,,,,
43791,26171,Los Angeles,11000 Victory Blvd.,North Hollywood,CA,91606,(818) 763-6340,Richard,Bechguenturian Jr.,Awad,Ramzi,Lopez,Jessie,Garcia,Marco,Open 24/7,,,,,,,,,,,
43794,26186,Los Angeles,808 Serfas Club Drive,Corona,CA,92882,(909) 340-9089,Eddie,Yuen,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
43795,26187,Los Angeles,5010 Van Buren Blvd.,Riverside,CA,92503,(951) 688-1111,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
43834,26538,Los Angeles,1410 N. Lemon St.,Anaheim,CA,92801,(714) 447-4203,Sharon,MacDonald,Chew,Sheryl,Brantley,Rick,Hernandez,Roy,,Open 24/3,Other,6/1/11,5 am to 12 am: Everyday,,Yes,,,,,
43846,26571,Los Angeles,14860 La Paz Place,Victorville,CA,92392,(760) 243-4032,Frank,Sanchez (Inland),Awad,Ramzi,Avila,Humberto,Tennyson,Jeff,Open 24/7,,,,,,,,,,,
43875,26926,Los Angeles,13330 East Telegraph Rd.,Sant Fe Springs,CA,90670,(562) 903-5982,Norman,Carter,Chew,Sheryl,Brantley,Rick,Ramirez,Lourdes,,Open 24/7,,,,,,,,,,
43876,26928,Los Angeles,6595 Atlantic Ave.,Long Beach,CA,90805,(562) 423-3758,Mike,"Mangione, Jr.",Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/2,,,,,,,,,,,
43888,27077,Los Angeles,18909 Ventura Blvd.,Tarzana,CA,91356,(818) 342-2253,Steve,Ho,Awad,Ramzi,Lopez,Jessie,Quintanilla,Jaime,Open 24/7,,,,,,,,,,,
43900,27201,Los Angeles,605 South Rose Avenue,Oxnard,CA,93030,(805) 240-7676,Gregory,Paschen,Awad,Ramzi,Lopez,Jessie,Rady,Mohamed,Open 24/7,,,,,,,,,,,
43907,27365,Los Angeles,528 Grand Avenue,Walnut,CA,91789,(909) 598-6566,Bryan,Carmack,Chew,Sheryl,Brantley,Rick,Castellanos,Silvia,Open 24/7,,,,,,,,,,,
43925,27507,Los Angeles,505 W. Florence Ave.,Los Angeles,CA,90044,(323) 750-3693,Lindsay,Hughes,Awad,Ramzi,Lopez,Jessie,Canseco,Carlos,Open 24/7,,,,,,,,,,,
43928,27532,Los Angeles,43645 Challenger Way,Lancaster,CA,93535,(661) 940-6824,Hernando,Marroquin,Awad,Ramzi,Avila,Humberto,Gonzalez,Teresa,,Open 24/3,Other,5/8/11,,,,,,,,
43939,27684,Los Angeles,24650 Crenshaw Blvd.,Torrance,CA,90501,(310) 539-4570,Mike,"Mangione, Jr.",Awad,Ramzi,Akinnagbe,Akins,Handojo,Tommy,Open 24/3,,,,,,,,,,,
43952,27834,Los Angeles,67-555 E. Palm Canyon,Cathedral City,CA,92234,(760) 202-0668,Richard,Shalhoub,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
44024,28366,Los Angeles,1105 Long Beach Blvd.,Compton,CA,90221,(310) 638-9417,Patricia,Williams,Awad,Ramzi,Akinnagbe,Akins,Azizi,Mahnaz,Open 24/7,,,,,,,,,,,
44061,28892,Los Angeles,4135 E. Firestone Blvd.,South Gate,CA,90280,(323) 564-8385,Richard,Ruby,Awad,Ramzi,Akinnagbe,Akins,Rojas,Sandra,Open 24/7,,,,5 am to 12 am: Everyday,,No,,,,,
44088,29479,Los Angeles,1290 E. Ontario Ave. (Wal*Mart),Corona,CA,92881,(951) 280-9899,Karen,Linton-Gransee,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
44119,29763,Los Angeles,39196 Winchester Rd.,Murrietta,CA,92563,(951) 461-8044,Tom,Tucker,Chew,Sheryl,Kanjee,Yousef,Williams,Cecy,Open 24/7,,,,,,,,,,,
44250,31292,Los Angeles,19401 Golden Valley Rd.,Santa Clarita,CA,91321,(661) 250-4842,Victor,Quiroz,Awad,Ramzi,Avila,Humberto,Gonzalez,Teresa,Open 24/7,,,,,,,,,,,
44372,32618,Los Angeles,42550 Jackson Ave,Indio,CA,92201,(760) 702-2290,Ron,Gilbreath,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/7,,,,,,,,,,,
44432,33205,Los Angeles,17017 Sierra Lakes Pkwy,Fontana,CA,92335,(909) 574-2087,Eddie,Yuen,Chew,Sheryl,Kanjee,Yousef,Sabbagh,Saad,Open 24/7,,,,,,,,,,,
44568,34332,Los Angeles,50090 Harrison St,Coachella,CA,92236,(760) 398-5600,Ron,Gilbreath,Chew,Sheryl,Kanjee,Yousef,Maciel,Abby,Open 24/2,,,,,,,,,,,
